"","Date","cinqMinutesInt","heureNombre"
"156",20140303,9.5,0.3986689815
"157",20140303,9.5,0.3986805556
"158",20140303,9.5,0.3986921296
"159",20140303,9.5,0.3987268519
"160",20140303,9.5,0.3987384259
"161",20140303,9.5,0.3987615741
"162",20140303,9.5,0.3988078704
"163",20140303,9.5,0.3988310185
"164",20140303,9.5,0.3988425926
"165",20140303,9.5,0.3988657407
"166",20140303,9.5,0.398912037
"167",20140303,9.5,0.3989236111
"168",20140303,9.5,0.3989467593
"169",20140303,9.5,0.3989583333
"170",20140303,9.5,0.3989699074
"171",20140303,9.5,0.3989814815
"172",20140303,9.5,0.3989930556
"173",20140303,9.5,0.3990162037
"174",20140303,9.5,0.3990393519
"175",20140303,9.5,0.3990625
"176",20140303,9.5,0.3990740741
"177",20140303,9.5,0.3990856481
"178",20140303,9.5,0.3991087963
"179",20140303,9.5,0.3991550926
"180",20140303,9.5,0.3991666667
"181",20140303,9.5,0.3991782407
"182",20140303,9.5,0.3991898148
"183",20140303,9.5,0.399212963
"184",20140303,9.5,0.3992476852
"185",20140303,9.5,0.3992592593
"186",20140303,9.5,0.3992708333
"187",20140303,9.5,0.3992824074
"188",20140303,9.5,0.3992939815
"189",20140303,9.583,0.3993055556
"190",20140303,9.583,0.3993287037
"191",20140303,9.583,0.3993402778
"192",20140303,9.583,0.3993518519
"193",20140303,9.583,0.3993634259
"194",20140303,9.583,0.399375
"195",20140303,9.583,0.3993865741
"196",20140303,9.583,0.3994444444
"197",20140303,9.583,0.3994560185
"198",20140303,9.583,0.3994791667
"199",20140303,9.583,0.3994907407
"200",20140303,9.583,0.3995023148
"201",20140303,9.583,0.399537037
"202",20140303,9.583,0.3995486111
"203",20140303,9.583,0.3995601852
"204",20140303,9.583,0.3996064815
"205",20140303,9.583,0.3996180556
"206",20140303,9.583,0.3996412037
"207",20140303,9.583,0.3996527778
"208",20140303,9.583,0.3996759259
"209",20140303,9.583,0.3996990741
"210",20140303,9.583,0.3997106481
"211",20140303,9.583,0.3997685185
"212",20140303,9.583,0.3997916667
"213",20140303,9.583,0.3998148148
"214",20140303,9.583,0.3998263889
"215",20140303,9.583,0.399837963
"216",20140303,9.583,0.399849537
"217",20140303,9.583,0.3998726852
"218",20140303,9.583,0.3998842593
"219",20140303,9.583,0.3999189815
"220",20140303,9.583,0.3999768519
"221",20140303,9.583,0.3999884259
"222",20140303,9.583,0.4
"223",20140303,9.583,0.4000115741
"224",20140303,9.583,0.4000231481
"225",20140303,9.583,0.4000347222
"226",20140303,9.583,0.4000462963
"227",20140303,9.583,0.4000925926
"228",20140303,9.583,0.4001273148
"229",20140303,9.583,0.4001388889
"230",20140303,9.583,0.400162037
"231",20140303,9.583,0.4001736111
"232",20140303,9.583,0.4001967593
"233",20140303,9.583,0.4002083333
"234",20140303,9.583,0.4002430556
"235",20140303,9.583,0.4002662037
"236",20140303,9.583,0.4003009259
"237",20140303,9.583,0.4003125
"238",20140303,9.583,0.4003240741
"239",20140303,9.583,0.4003356481
"240",20140303,9.583,0.4003472222
"241",20140303,9.583,0.4003587963
"242",20140303,9.583,0.4003703704
"243",20140303,9.583,0.4003819444
"244",20140303,9.583,0.4003935185
"245",20140303,9.583,0.4004166667
"246",20140303,9.583,0.400474537
"247",20140303,9.583,0.4005092593
"248",20140303,9.583,0.4005324074
"249",20140303,9.583,0.4005555556
"250",20140303,9.583,0.4005787037
"251",20140303,9.583,0.4006018519
"252",20140303,9.583,0.4006134259
"253",20140303,9.583,0.400625
"254",20140303,9.583,0.4006365741
"255",20140303,9.583,0.4006481481
"256",20140303,9.583,0.4006828704
"257",20140303,9.583,0.4006944444
"258",20140303,9.583,0.4007060185
"259",20140303,9.583,0.4007638889
"260",20140303,9.583,0.400775463
"261",20140303,9.583,0.400787037
"262",20140303,9.583,0.4007986111
"263",20140303,9.583,0.4008680556
"264",20140303,9.583,0.4008796296
"265",20140303,9.583,0.4009606481
"266",20140303,9.583,0.4009722222
"267",20140303,9.583,0.4010069444
"268",20140303,9.583,0.4010185185
"269",20140303,9.583,0.4010416667
"270",20140303,9.583,0.4010532407
"271",20140303,9.583,0.4010763889
"272",20140303,9.583,0.401099537
"273",20140303,9.583,0.4011342593
"274",20140303,9.583,0.4011805556
"275",20140303,9.583,0.4012152778
"276",20140303,9.583,0.4012268519
"277",20140303,9.583,0.40125
"278",20140303,9.583,0.4012962963
"279",20140303,9.583,0.4013078704
"280",20140303,9.583,0.4013194444
"281",20140303,9.583,0.4013773148
"282",20140303,9.583,0.4013888889
"283",20140303,9.583,0.401400463
"284",20140303,9.583,0.4014351852
"285",20140303,9.583,0.4015046296
"286",20140303,9.583,0.4015162037
"287",20140303,9.583,0.4015277778
"288",20140303,9.583,0.4015393519
"289",20140303,9.583,0.4015509259
"290",20140303,9.583,0.4015625
"291",20140303,9.583,0.4015740741
"292",20140303,9.583,0.4015856481
"293",20140303,9.583,0.4016087963
"294",20140303,9.583,0.4016203704
"295",20140303,9.583,0.4016666667
"296",20140303,9.583,0.401712963
"297",20140303,9.583,0.401724537
"298",20140303,9.583,0.4017361111
"299",20140303,9.583,0.4017476852
"300",20140303,9.583,0.4017708333
"301",20140303,9.583,0.4017824074
"302",20140303,9.583,0.4017939815
"303",20140303,9.583,0.4018171296
"304",20140303,9.583,0.4018287037
"305",20140303,9.583,0.4018518519
"306",20140303,9.583,0.401875
"307",20140303,9.583,0.4018865741
"308",20140303,9.583,0.4019097222
"309",20140303,9.583,0.4019212963
"310",20140303,9.583,0.4019328704
"311",20140303,9.583,0.4019791667
"312",20140303,9.583,0.4019907407
"313",20140303,9.583,0.4020023148
"314",20140303,9.583,0.402025463
"315",20140303,9.583,0.4020486111
"316",20140303,9.583,0.4020717593
"317",20140303,9.583,0.4020833333
"318",20140303,9.583,0.4020949074
"319",20140303,9.583,0.4021064815
"320",20140303,9.583,0.4021180556
"321",20140303,9.583,0.4021412037
"322",20140303,9.583,0.4021643519
"323",20140303,9.583,0.4021759259
"324",20140303,9.583,0.4021990741
"325",20140303,9.583,0.4022106481
"326",20140303,9.583,0.4022337963
"327",20140303,9.583,0.4022569444
"328",20140303,9.583,0.4022800926
"329",20140303,9.583,0.402349537
"330",20140303,9.583,0.4023726852
"331",20140303,9.583,0.4024189815
"332",20140303,9.583,0.4024421296
"333",20140303,9.583,0.4025
"334",20140303,9.583,0.4025231481
"335",20140303,9.583,0.4025810185
"336",20140303,9.583,0.4025925926
"337",20140303,9.583,0.4026041667
"338",20140303,9.583,0.4026157407
"339",20140303,9.583,0.4026388889
"340",20140303,9.583,0.4026736111
"341",20140303,9.583,0.4026851852
"342",20140303,9.583,0.4026967593
"343",20140303,9.583,0.4027430556
"344",20140303,9.583,0.4027546296
"345",20140303,9.583,0.4027662037
"346",20140303,9.667,0.4027777778
"347",20140303,9.667,0.4028125
"348",20140303,9.667,0.4028240741
"349",20140303,9.667,0.4028356481
