Date,heureNombre,heureHHMMSS,taille,prix
20140303,0.3981134259,93317,10,1205.93
20140303,0.3981365741,93319,8,1205.08
20140303,0.3981481481,93320,500,1205.102
20140303,0.3981597222,93321,201,1205.9138308458
20140303,0.3981828704,93323,455,1205.7338461539
20140303,0.3982291667,93327,19,1205.5521578947
20140303,0.3982407407,93328,100,1205.91
20140303,0.3982523148,93329,3,1205.8
20140303,0.3982638889,93330,1801,1205.9593503609
20140303,0.398275463,93331,116,1206.3581896552
20140303,0.398287037,93332,225,1206.3377888889
20140303,0.3983101852,93334,10,1206.98
20140303,0.3983449074,93337,10,1205.8
20140303,0.3983564815,93338,4,1205.8001
20140303,0.3983680556,93339,50,1206.9399
20140303,0.3983796296,93340,100,1206.5
20140303,0.3983912037,93341,100,1206.075
20140303,0.3984143519,93343,10,1206.07
20140303,0.3984259259,93344,9,1206.07
20140303,0.3984375,93345,1,1206.071
20140303,0.3984490741,93346,226,1206.86
20140303,0.3985185185,93352,993,1206.8484390735
20140303,0.3985300926,93353,213,1206.3540375587
20140303,0.3985532407,93355,666,1206.7121771772
20140303,0.3985648148,93356,1200,1206.81825
20140303,0.3985763889,93357,120,1206.8225
20140303,0.398587963,93358,107,1206.6313084112
20140303,0.3986111111,93400,560,1206.1446428571
20140303,0.3986458333,93403,3,1206.215
20140303,0.3986574074,93404,36,1206.0906527778
20140303,0.3986689815,93405,1000,1206.85
20140303,0.3986805556,93406,517,1206.7703321083
20140303,0.3986921296,93407,100,1206.737
20140303,0.3987268519,93410,37,1206.2205135135
20140303,0.3987384259,93411,10,1206.989
20140303,0.3987615741,93413,265,1206.1109433962
20140303,0.3988078704,93417,5,1206.99
20140303,0.3988310185,93419,100,1206.34
20140303,0.3988425926,93420,50,1206.1788
20140303,0.3988657407,93422,512,1206.473046875
20140303,0.398912037,93426,300,1206.3341666667
20140303,0.3989236111,93427,58,1206.4701
20140303,0.3989467593,93429,512,1206.7972851563
20140303,0.3989583333,93430,67,1206.48
20140303,0.3989699074,93431,301,1206.122192691
20140303,0.3989814815,93432,300,1206.115
20140303,0.3989930556,93433,29,1206.5685344828
20140303,0.3990162037,93435,200,1205.835
20140303,0.3990393519,93437,5,1206.03
20140303,0.3990625,93439,15,1205.61
20140303,0.3990740741,93440,10,1205.95
20140303,0.3990856481,93441,40,1206.08
20140303,0.3991087963,93443,10,1205.61
20140303,0.3991550926,93447,2,1205.77
20140303,0.3991666667,93448,9,1205.61
20140303,0.3991782407,93449,1,1205.93
20140303,0.3991898148,93450,659,1205.8386145675
20140303,0.399212963,93452,10,1205.65
20140303,0.3992476852,93455,100,1206.14
20140303,0.3992592593,93456,100,1206.14
20140303,0.3992708333,93457,11,1205.65
20140303,0.3992824074,93458,1200,1205.6720833333
20140303,0.3992939815,93459,1,1205.65
20140303,0.3993055556,93500,525,1206.4168571429
20140303,0.3993287037,93502,240,1205.9866666667
20140303,0.3993402778,93503,100,1206.4296
20140303,0.3993518519,93504,800,1205.79875
20140303,0.3993634259,93505,155,1205.6906451613
20140303,0.399375,93506,4,1206.63
20140303,0.3993865741,93507,150,1206.1549333333
20140303,0.3994444444,93512,5,1206.689
20140303,0.3994560185,93513,100,1206.315
20140303,0.3994791667,93515,100,1206.32
20140303,0.3994907407,93516,100,1205.91
20140303,0.3995023148,93517,4,1206
20140303,0.399537037,93520,55,1206.7363636364
20140303,0.3995486111,93521,300,1206.03
20140303,0.3995601852,93522,10,1206.03
20140303,0.3996064815,93526,100,1207
20140303,0.3996180556,93527,200,1206.5075
20140303,0.3996412037,93529,606,1206.6306930693
20140303,0.3996527778,93530,75,1206.8525
20140303,0.3996759259,93532,100,1206.595
20140303,0.3996990741,93534,6,1206.221
20140303,0.3997106481,93535,310,1206.8009354839
20140303,0.3997685185,93540,2,1206.98
20140303,0.3997916667,93542,220,1207.1527272727
20140303,0.3998148148,93544,201,1207.1166169154
20140303,0.3998263889,93545,105,1207.1928571429
20140303,0.399837963,93546,25,1207.399
20140303,0.399849537,93547,121,1206.9024760331
20140303,0.3998726852,93549,410,1206.8475609756
20140303,0.3998842593,93550,24,1206.40505
